ts_code,name,price
000825.SZ,太钢不锈,3.7649999999999997
000826.SZ,启迪环境,9.41
000828.SZ,东莞控股,8.27
000829.SZ,天音控股,5.32
000830.SZ,鲁西化工,9.67
000831.SZ,五矿稀土,14.465
000833.SZ,粤桂股份,5.48
000835.SZ,长城动漫,4.07
000836.SZ,富通鑫茂,3.635
000837.SZ,秦川机床,4.2
000838.SZ,财信发展,3.17
000839.SZ,中信国安,3.75
000848.SZ,承德露露,7.54
000850.SZ,华茂股份,4.025
000851.SZ,高鸿股份,5.105
000852.SZ,石化机械,6.405
000856.SZ,冀东装备,10.79
000859.SZ,国风塑业,4.55
000861.SZ,海印股份,2.71
000862.SZ,银星能源,5.63
000863.SZ,三湘印象,4.8100000000000005
000868.SZ,*ST安凯,2.9050000000000002
000869.SZ,张裕A,28.689999999999998
000875.SZ,吉电股份,2.85
000876.SZ,新希望,19.44
000877.SZ,天山股份,10.59
000878.SZ,云南铜业,9.95
000880.SZ,潍柴重机,7.55
000881.SZ,中广核技,7.21
000882.SZ,华联股份,2.205
000883.SZ,湖北能源,4.04
000885.SZ,城发环境,9.885
000886.SZ,海南高速,3.53
000887.SZ,中鼎股份,9.120000000000001
000888.SZ,峨眉山A,5.99
000889.SZ,中嘉博创,9.04
000890.SZ,法尔胜,5.24
000892.SZ,欢瑞世纪,3.665
000893.SZ,东凌国际,6.96
000895.SZ,双汇发展,22.375
000897.SZ,*ST津滨,2.115
000898.SZ,鞍钢股份,3.13
000899.SZ,赣能股份,4.8
000900.SZ,现代投资,4.35
000901.SZ,航天科技,12.254999999999999
000902.SZ,新洋丰,11.125
000903.SZ,云内动力,2.6
000905.SZ,厦门港务,7.140000000000001
000906.SZ,浙商中拓,5.925000000000001
000908.SZ,景峰医药,4.28
000909.SZ,数源科技,7.695
000910.SZ,大亚圣象,10.865
000911.SZ,*ST南糖,6.0649999999999995
000912.SZ,泸天化,4.865
000913.SZ,钱江摩托,9.425
000915.SZ,山大华特,22.275
000917.SZ,电广传媒,6.285
000918.SZ,嘉凯城,6.255
000919.SZ,金陵药业,7.605
000920.SZ,南方汇通,6.7
000921.SZ,海信家电,11.915
000922.SZ,佳电股份,8.129999999999999
000923.SZ,河北宣工,14.96
000925.SZ,众合科技,6.33
000926.SZ,福星股份,6.42
000927.SZ,一汽夏利,3.915
000928.SZ,中钢国际,5.545
000929.SZ,兰州黄河,7.195
000930.SZ,中粮科技,6.79
000931.SZ,中关村,8.045
000932.SZ,华菱钢铁,4.029999999999999
000933.SZ,神火股份,4.26
000935.SZ,四川双马,13.905000000000001
000936.SZ,华西股份,6.955
000937.SZ,冀中能源,3.56
000948.SZ,南天信息,10.254999999999999
000949.SZ,新乡化纤,3.5549999999999997
000950.SZ,重药控股,6.38
000951.SZ,中国重汽,15.05
000952.SZ,广济药业,9.524999999999999
000953.SZ,*ST河化,4.205
000955.SZ,欣龙控股,4.055
000957.SZ,中通客车,6.835
000958.SZ,东方能源,5.46
000959.SZ,首钢股份,3.435
000960.SZ,锡业股份,10.14
000961.SZ,中南建设,7.375
000962.SZ,东方钽业,7.15
000963.SZ,华东医药,28.71
000965.SZ,天保基建,3.2750000000000004
000966.SZ,长源电力,5.34
000967.SZ,盈峰环境,6.755000000000001
000968.SZ,蓝焰控股,10.004999999999999
000969.SZ,安泰科技,7.115
000970.SZ,中科三环,9.96
000971.SZ,*ST高升,2.045
000972.SZ,ST中基,2.6100000000000003
000973.SZ,佛塑科技,3.895
000975.SZ,银泰黄金,16.83
000976.SZ,华铁股份,5.09
000977.SZ,浪潮信息,25.35
000978.SZ,桂林旅游,5.335
000980.SZ,众泰汽车,3.675
000981.SZ,ST银亿,1.55
000982.SZ,*ST中绒,1.61
000983.SZ,西山煤电,5.885
000985.SZ,大庆华科,13.95
000987.SZ,越秀金控,8.98
000988.SZ,华工科技,17.615000000000002
000989.SZ,九芝堂,8.535
000990.SZ,诚志股份,15.1
000993.SZ,闽东电力,7.619999999999999
000996.SZ,中国中期,12.32
000997.SZ,新大陆,17.305
000998.SZ,隆平高科,12.61
000999.SZ,华润三九,29.715
